theta	phi(  2)	phi(  4)	phi(  6)	phi(  9)	phi( 13)	phi( 18)	phi( 24)	phi( 30)	phi( 37)	phi( 45)	phi( 54)	phi( 64)	phi( 74)	phi( 85)	phi( 97)
 165.60	  -0.00154	  -0.00232	   0.00172	   0.01200	   0.02697	   0.04277	   0.05682	   0.06694	   0.07474	   0.07819	   0.07384	   0.05502	   0.01742	   0.02119	  -0.25703
 169.20	  -0.00118	  -0.00182	   0.00118	   0.00886	   0.02008	   0.03191	   0.04240	   0.04994	   0.05572	   0.05819	   0.05475	   0.04032	   0.01173	   0.01435	  -0.19690
 172.80	  -0.00080	  -0.00126	   0.00073	   0.00585	   0.01332	   0.02120	   0.02817	   0.03317	   0.03698	   0.03858	   0.03619	   0.02640	   0.00716	   0.00886	  -0.12924
 176.40	  -0.00040	  -0.00064	   0.00035	   0.00290	   0.00664	   0.01058	   0.01406	   0.01655	   0.01844	   0.01922	   0.01800	   0.01305	   0.00338	   0.00422	  -0.06248
 180.00	  -0.00000	  -0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	   0.00000	  -0.00000
 183.60	   0.00040	   0.00064	  -0.00035	  -0.00290	  -0.00664	  -0.01058	  -0.01406	  -0.01655	  -0.01844	  -0.01922	  -0.01800	  -0.01305	  -0.00338	  -0.00422	   0.06248
 187.20	   0.00080	   0.00126	  -0.00073	  -0.00585	  -0.01332	  -0.02120	  -0.02817	  -0.03317	  -0.03698	  -0.03858	  -0.03619	  -0.02640	  -0.00716	  -0.00886	   0.12924
 190.80	   0.00118	   0.00182	  -0.00118	  -0.00886	  -0.02008	  -0.03191	  -0.04240	  -0.04994	  -0.05572	  -0.05819	  -0.05475	  -0.04032	  -0.01173	  -0.01435	   0.19690
 194.40	   0.00154	   0.00232	  -0.00172	  -0.01200	  -0.02697	  -0.04277	  -0.05682	  -0.06694	  -0.07474	  -0.07819	  -0.07384	  -0.05502	  -0.01742	  -0.02119	   0.25703
 198.00	   0.00187	   0.00272	  -0.00240	  -0.01528	  -0.03402	  -0.05383	  -0.07147	  -0.08424	  -0.09416	  -0.09870	  -0.09362	  -0.07070	  -0.02455	  -0.02984	   0.30606
 201.60	   0.00217	   0.00301	  -0.00323	  -0.01875	  -0.04128	  -0.06512	  -0.08643	  -0.10194	  -0.11408	  -0.11984	  -0.11422	  -0.08751	  -0.03339	  -0.04072	   0.34900
 205.20	   0.00243	   0.00316	  -0.00424	  -0.02243	  -0.04878	  -0.07670	  -0.10177	  -0.12011	  -0.13460	  -0.14175	  -0.13580	  -0.10566	  -0.04424	  -0.05414	   0.39145
 208.80	   0.00265	   0.00316	  -0.00546	  -0.02637	  -0.05657	  -0.08864	  -0.11756	  -0.13885	  -0.15586	  -0.16458	  -0.15855	  -0.12540	  -0.05743	  -0.07039	   0.43008
 212.40	   0.00282	   0.00299	  -0.00691	  -0.03058	  -0.06469	  -0.10097	  -0.13387	  -0.15827	  -0.17796	  -0.18849	  -0.18270	  -0.14705	  -0.07337	  -0.08981	   0.45407
 216.00	   0.00294	   0.00263	  -0.00862	  -0.03511	  -0.07317	  -0.11375	  -0.15078	  -0.17845	  -0.20106	  -0.21366	  -0.20849	  -0.17099	  -0.09255	  -0.11288	   0.45613
 219.60	   0.00300	   0.00208	  -0.01059	  -0.03997	  -0.08207	  -0.12706	  -0.16837	  -0.19952	  -0.22530	  -0.24029	  -0.23621	  -0.19762	  -0.11557	  -0.14038	   0.43952
 223.20	   0.00300	   0.00131	  -0.01287	  -0.04521	  -0.09141	  -0.14093	  -0.18674	  -0.22158	  -0.25083	  -0.26860	  -0.26613	  -0.22735	  -0.14306	  -0.17325	   0.41226
 226.80	   0.00294	   0.00034	  -0.01545	  -0.05084	  -0.10125	  -0.15545	  -0.20596	  -0.24478	  -0.27783	  -0.29880	  -0.29856	  -0.26057	  -0.17568	  -0.21252	   0.37585
 230.40	   0.00281	  -0.00087	  -0.01837	  -0.05690	  -0.11162	  -0.17066	  -0.22615	  -0.26922	  -0.30646	  -0.33112	  -0.33378	  -0.29768	  -0.21404	  -0.25903	   0.32283
 234.00	   0.00261	  -0.00232	  -0.02163	  -0.06341	  -0.12256	  -0.18664	  -0.24738	  -0.29505	  -0.33690	  -0.36578	  -0.37209	  -0.33905	  -0.25864	  -0.31331	   0.24610
 237.60	   0.00234	  -0.00401	  -0.02524	  -0.07039	  -0.13412	  -0.20344	  -0.26976	  -0.32239	  -0.36932	  -0.40303	  -0.41378	  -0.38511	  -0.30995	  -0.37561	   0.14773
 241.20	   0.00200	  -0.00596	  -0.02922	  -0.07785	  -0.14631	  -0.22112	  -0.29337	  -0.35137	  -0.40389	  -0.44307	  -0.45917	  -0.43626	  -0.36836	  -0.44603	   0.03535
 244.80	   0.00160	  -0.00815	  -0.03355	  -0.08581	  -0.15918	  -0.23973	  -0.31829	  -0.38209	  -0.44078	  -0.48615	  -0.50857	  -0.49292	  -0.43423	  -0.52464	  -0.08884
 248.40	   0.00115	  -0.01061	  -0.03825	  -0.09426	  -0.17274	  -0.25931	  -0.34459	  -0.41466	  -0.48011	  -0.53245	  -0.56227	  -0.55546	  -0.50790	  -0.61163	  -0.23140
 252.00	   0.00065	  -0.01332	  -0.04331	  -0.10322	  -0.18699	  -0.27989	  -0.37232	  -0.44916	  -0.52203	  -0.58218	  -0.62054	  -0.62416	  -0.58959	  -0.70727	  -0.39945
 255.60	   0.00011	  -0.01626	  -0.04874	  -0.11268	  -0.20195	  -0.30148	  -0.40152	  -0.48565	  -0.56661	  -0.63546	  -0.68356	  -0.69920	  -0.67939	  -0.81184	  -0.58931
 259.20	  -0.00047	  -0.01941	  -0.05451	  -0.12263	  -0.21759	  -0.32408	  -0.43220	  -0.52415	  -0.61390	  -0.69238	  -0.75143	  -0.78061	  -0.77722	  -0.92542	  -0.78567
 262.80	  -0.00108	  -0.02273	  -0.06060	  -0.13305	  -0.23391	  -0.34766	  -0.46431	  -0.56462	  -0.66388	  -0.75292	  -0.82414	  -0.86831	  -0.88279	  -1.04784	  -0.97516
 266.40	  -0.00172	  -0.02616	  -0.06695	  -0.14389	  -0.25084	  -0.37215	  -0.49778	  -0.60697	  -0.71644	  -0.81698	  -0.90156	  -0.96210	  -0.99569	  -1.17870	  -1.15948
 270.00	  -0.00236	  -0.02966	  -0.07349	  -0.15509	  -0.26832	  -0.39746	  -0.53248	  -0.65105	  -0.77140	  -0.88434	  -0.98345	  -1.06167	  -1.11538	  -1.31740	  -1.35197
 273.60	  -0.00301	  -0.03318	  -0.08013	  -0.16655	  -0.28624	  -0.42345	  -0.56822	  -0.69661	  -0.82846	  -0.95467	  -1.06944	  -1.16655	  -1.24121	  -1.46326	  -1.56044
 277.20	  -0.00363	  -0.03668	  -0.08678	  -0.17814	  -0.30445	  -0.44993	  -0.60475	  -0.74334	  -0.88724	  -1.02749	  -1.15898	  -1.27617	  -1.37246	  -1.61550	  -1.77657
 280.80	  -0.00424	  -0.04011	  -0.09336	  -0.18973	  -0.32277	  -0.47665	  -0.64172	  -0.79081	  -0.94721	  -1.10216	  -1.25132	  -1.38970	  -1.50823	  -1.77324	  -1.98436
 284.40	  -0.00482	  -0.04343	  -0.09978	  -0.20115	  -0.34097	  -0.50331	  -0.67873	  -0.83847	  -1.00769	  -1.17784	  -1.34549	  -1.50609	  -1.64748	  -1.93550	  -2.17801
 288.00	  -0.00536	  -0.04658	  -0.10595	  -0.21224	  -0.35879	  -0.52952	  -0.71524	  -0.88567	  -1.06783	  -1.25348	  -1.44022	  -1.62398	  -1.78893	  -2.10111	  -2.36817
 291.60	  -0.00586	  -0.04949	  -0.11172	  -0.22279	  -0.37590	  -0.55482	  -0.75065	  -0.93161	  -1.12664	  -1.32783	  -1.53402	  -1.74176	  -1.93110	  -2.26868	  -2.56942
 295.20	  -0.00631	  -0.05210	  -0.11696	  -0.23255	  -0.39193	  -0.57869	  -0.78421	  -0.97536	  -1.18295	  -1.39946	  -1.62525	  -1.85767	  -2.07230	  -2.43652	  -2.78369
 298.80	  -0.00669	  -0.05431	  -0.12150	  -0.24124	  -0.40645	  -0.60051	  -0.81511	  -1.01586	  -1.23541	  -1.46670	  -1.71202	  -1.96981	  -2.21066	  -2.60261	  -2.99875
 302.40	  -0.00699	  -0.05608	  -0.12519	  -0.24855	  -0.41896	  -0.61959	  -0.84240	  -1.05193	  -1.28251	  -1.52768	  -1.79219	  -2.07610	  -2.34418	  -2.76456	  -3.20254
 306.00	  -0.00721	  -0.05734	  -0.12787	  -0.25415	  -0.42893	  -0.63517	  -0.86508	  -1.08225	  -1.32258	  -1.58029	  -1.86327	  -2.17411	  -2.47070	  -2.91960	  -3.39592
 309.60	  -0.00734	  -0.05804	  -0.12943	  -0.25773	  -0.43579	  -0.64642	  -0.88201	  -1.10543	  -1.35384	  -1.62221	  -1.92240	  -2.26092	  -2.58775	  -3.06456	  -3.58972
 313.20	  -0.00737	  -0.05811	  -0.12973	  -0.25897	  -0.43894	  -0.65243	  -0.89201	  -1.11996	  -1.37440	  -1.65105	  -1.96636	  -2.33295	  -2.69240	  -3.19598	  -3.79058
 316.80	  -0.00731	  -0.05751	  -0.12864	  -0.25755	  -0.43777	  -0.65227	  -0.89378	  -1.12426	  -1.38236	  -1.66442	  -1.99175	  -2.38572	  -2.78095	  -3.31021	  -3.99287
 320.40	  -0.00716	  -0.05621	  -0.12603	  -0.25319	  -0.43168	  -0.64494	  -0.88596	  -1.11667	  -1.37577	  -1.66002	  -1.99531	  -2.41382	  -2.84821	  -3.40357	  -4.18425
 324.00	  -0.00690	  -0.05418	  -0.12178	  -0.24558	  -0.42011	  -0.62949	  -0.86714	  -1.09544	  -1.35257	  -1.63561	  -1.97419	  -2.41146	  -2.88653	  -3.47162	  -4.35490
 327.60	  -0.00655	  -0.05140	  -0.11585	  -0.23452	  -0.40257	  -0.60505	  -0.83597	  -1.05874	  -1.31059	  -1.58884	  -1.92596	  -2.37387	  -2.88538	  -3.50633	  -4.49539
 331.20	  -0.00610	  -0.04788	  -0.10820	  -0.21988	  -0.37873	  -0.57095	  -0.79124	  -1.00481	  -1.24748	  -1.51701	  -1.84799	  -2.29804	  -2.83398	  -3.49220	  -4.58932
 334.80	  -0.00555	  -0.04364	  -0.09888	  -0.20168	  -0.34849	  -0.52683	  -0.73210	  -0.93214	  -1.16087	  -1.41687	  -1.73657	  -2.18112	  -2.72547	  -3.40744	  -4.62932
 338.40	  -0.00493	  -0.03875	  -0.08799	  -0.18006	  -0.31199	  -0.47273	  -0.65834	  -0.83998	  -1.04897	  -1.28509	  -1.58648	  -2.01780	  -2.55660	  -3.23425	  -4.60312
 342.00	  -0.00422	  -0.03325	  -0.07565	  -0.15526	  -0.26967	  -0.40926	  -0.57067	  -0.72897	  -0.91181	  -1.12000	  -1.39229	  -1.79845	  -2.32171	  -2.96936	  -4.46413
 345.60	  -0.00346	  -0.02725	  -0.06207	  -0.12768	  -0.22218	  -0.33751	  -0.47078	  -0.60141	  -0.75232	  -0.92451	  -1.15372	  -1.51165	  -2.00154	  -2.60882	  -4.13892
 349.20	  -0.00264	  -0.02081	  -0.04746	  -0.09779	  -0.17041	  -0.25898	  -0.36112	  -0.46096	  -0.57594	  -0.70670	  -0.88173	  -1.16240	  -1.57176	  -2.10801	  -3.54807
 352.80	  -0.00178	  -0.01406	  -0.03207	  -0.06615	  -0.11538	  -0.17538	  -0.24438	  -0.31158	  -0.38863	  -0.47576	  -0.59226	  -0.78016	  -1.06005	  -1.44539	  -2.68221
 356.40	  -0.00090	  -0.00708	  -0.01616	  -0.03336	  -0.05822	  -0.08849	  -0.12321	  -0.15692	  -0.19540	  -0.23867	  -0.29629	  -0.38915	  -0.52740	  -0.71834	  -1.39029
 360.00	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000	  -0.00000
